##fileDate=2018-09-25
##CollaboratorSampleID=NTC-Neg-Control
##GenomeBuild=/scratch/DMP/DUDMP/TRANSGEN/sjamal/2.Scripts/geneCN/Home/REFERENCES/hg.19.fa
##QCvalue=NA
##Chr="The chromosome of the feature"
##NA="Column not in use"
##L0="zero-based coordinate for the start of the feature"
##L1="one-based coordinate for the start of the feature"
##Feature="The name of the feature"
##State="The state of the feature if thresholds were provided else the pvalue"
##H0="zero-based coordinate for the end of the feature"
##H1="one-based coordinate for the end of the feature"
##Score="Score"
#Chr	NA	L0	L1	Feature	State	Chr	NA	H0	H1	Feature	State	Score
chr9	.	133589669	133589670	ABL1	0.008560065	chr9	.	133761109	133761110	ABL1	0.008560065	5.466659e-15
chr2	.	158594014	158594015	ACVR1	0.9345817	chr2	.	158656038	158656039	ACVR1	0.9345817	-2.514578e-16
chr14	.	105235474	105235475	AKT1	2.202372e-20	chr14	.	105259039	105259040	AKT1	2.202372e-20	1.387921e-14
chr19	.	40739438	40739439	AKT2	0.2369627	chr19	.	40789989	40789990	AKT2	0.2369627	2.814679e-15
chr2	.	29416057	29416058	ALK	0.1477011	chr2	.	30135065	30135066	ALK	0.1477011	2.378452e-15
chrX	.	63409728	63409729	AMER1	0.07132947	chrX	.	63413138	63413139	AMER1	0.07132947	4.785041e-15
chr5	.	112043375	112043376	APC	0.0004167347	chr5	.	112179860	112179861	APC	0.0004167347	-4.813914e-15
chrX	.	47422336	47422337	ARAF	1.611262e-07	chrX	.	47430898	47430899	ARAF	1.611262e-07	1.296268e-14
chr1	.	27022855	27022856	ARID1A	7.712577e-06	chr1	.	27107220	27107221	ARID1A	7.712577e-06	6.768465e-15
chr20	.	30946506	30946507	ASXL1	0.1391502	chr20	.	31025190	31025191	ASXL1	0.1391502	2.391369e-15
chr11	.	108093837	108093838	ATM	5.542495e-06	chr11	.	108236267	108236268	ATM	5.542495e-06	-3.5434e-15
chrX	.	76763801	76763802	ATRX	0.002436986	chrX	.	77041544	77041545	ATRX	0.002436986	-2.903895e-15
chr20	.	54943983	54943984	AURKA	0.9855063	chr20	.	54968808	54968809	AURKA	0.9855063	-4.552322e-17
chr15	.	45003702	45003703	B2M	0.7337555	chr15	.	45008602	45008603	B2M	0.7337555	2.738407e-15
chr3	.	52436276	52436277	BAP1	1.795524e-05	chr3	.	52443938	52443939	BAP1	1.795524e-05	8.576809e-15
chr18	.	60985253	60985254	BCL2	0.1235692	chr18	.	60985913	60985914	BCL2	0.1235692	1.208173e-14
chrX	.	39911329	39911330	BCOR	0.006696125	chrX	.	40036344	40036345	BCOR	0.006696125	4.016637e-15
chr11	.	102190090	102190091	BIRC3	0.01396452	chr11	.	102209814	102209815	BIRC3	0.01396452	-4.576084e-15
chr7	.	140434356	140434357	BRAF	0.3100913	chr7	.	140624544	140624545	BRAF	0.3100913	-8.266184e-16
chr17	.	41197660	41197661	BRCA1	2.337494e-06	chr17	.	41276148	41276149	BRCA1	2.337494e-06	-5.221774e-15
chr13	.	32890550	32890551	BRCA2	0.04017929	chr13	.	32972924	32972925	BRCA2	0.04017929	-1.950019e-15
chr17	.	59760629	59760630	BRIP1	1.833104e-05	chr17	.	59938916	59938917	BRIP1	1.833104e-05	-6.185424e-15
chr12	.	92533314	92533315	BTG1	0.02616651	chr12	.	92539666	92539667	BTG1	0.02616651	9.919421e-15
