#chrom	txStart	txEnd	name2
chr1	36931643	36948915	CSF3R
chr1	155867598	155881193	RIT1
chr1	155867598	155880706	RIT1
chr1	1716723	1822556	GNB1
chr1	1716723	1822556	GNB1
chr1	1716723	1822556	GNB1
chr1	115247084	115259515	NRAS
chr1	43803474	43820135	MPL
chr1	155867598	155881193	RIT1
chr1	36931643	36948915	CSF3R
chr1	36931643	36948915	CSF3R
chr2	198283520	198299817	SF3B1
chr2	58386377	58468515	FANCL
chr2	209100950	209119182	IDH1
chr2	209100950	209119027	IDH1
chr2	198283520	198299817	SF3B1
chr2	25504320	25564784	DNMT3A
chr2	25455829	25475000	DNMT3A
chr2	209100950	209119867	IDH1
chr2	198256697	198299817	SF3B1
chr2	58386377	58468515	FANCL
chr2	25455829	25564784	DNMT3A
chr2	25455829	25475184	DNMT3A
chr2	25455829	25565459	DNMT3A
chr2	25504320	25565459	DNMT3A
chr2	25455829	25565459	DNMT3A
chr2	58386377	58468515	FANCL
chr3	128198264	128207373	GATA2
chr3	128198264	128206764	GATA2
chr3	105374304	105587225	CBLB
chr3	105374304	105587887	CBLB
chr3	105374304	105587163	CBLB
chr3	105374304	105588266	CBLB
chr3	105374304	105587887	CBLB
chr3	105374304	105587887	CBLB
chr3	105374304	105587887	CBLB
chr3	105374304	105587887	CBLB
chr3	105374304	105587887	CBLB
chr3	105374304	105587887	CBLB
chr3	105374304	105587887	CBLB
chr3	105374304	105587887	CBLB
chr3	105374304	105587887	CBLB
chr3	105374304	105587887	CBLB
chr3	105374304	105587887	CBLB
chr3	105374304	105587887	CBLB
chr3	105374304	105586435	CBLB
chr3	105374304	105587887	CBLB
chr3	105374304	105587887	CBLB
chr3	105374304	105587887	CBLB
chr3	128198264	128212030	GATA2
chr3	105374304	105587856	CBLB
chr3	105374304	105587887	CBLB
chr3	105374304	105587887	CBLB
chr3	105374304	105587887	CBLB
chr3	105374304	105587887	CBLB
chr3	105374304	105588266	CBLB
chr3	105374304	105587887	CBLB
chr3	105374304	105587403	CBLB
chr4	55524094	55606881	KIT
chr4	153241695	153303681	FBXW7
chr4	55524094	55606881	KIT
chr4	106067841	106200960	TET2
chr4	153332311	153456393	FBXW7
chr4	55095255	55148145	PDGFRA
chr4	55095255	55164414	PDGFRA
chr4	55099248	55164414	PDGFRA
chr4	55100126	55164414	PDGFRA
chr4	153241695	153457244	FBXW7
chr4	55095255	55164414	PDGFRA
chr4	106067031	106163928	TET2
chr4	153241695	153273978	FBXW7
chr4	153242409	153456185	FBXW7
chr4	13570365	13629328	BOD1L1
chr5	148875456	148931115	CSNK1A1
chr5	170814707	170833731	NPM1
chr5	148875456	148931115	CSNK1A1
chr5	148875456	148929894	CSNK1A1
chr5	176938577	176944327	DDX41
chr5	176938577	176944327	DDX41
chr5	170814119	170837888	NPM1
chr5	170814707	170837888	NPM1
chr5	170814707	170833731	NPM1
chr5	170814707	170837888	NPM1
chr5	148875456	148931115	CSNK1A1
chr5	170814707	170837888	NPM1
chr5	131892615	131980313	RAD50
chr5	176938577	176944327	DDX41
chr5	176560832	176727214	NSD1
chr5	176560079	176727214	NSD1
chr5	170814707	170837888	NPM1
chr5	170814707	170837888	NPM1
chr7	116312443	116438440	MET
chr7	116312443	116438440	MET
chr7	101459183	101901513	CUX1
chr7	101459183	101927250	CUX1
chr7	101459183	101927250	CUX1
chr7	101459287	101927250	CUX1
chr7	148504463	148581441	EZH2
chr7	148504463	148581441	EZH2
chr7	148504463	148580601	EZH2
chr7	107663995	107770801	LAMB4
chr7	107702841	107770801	LAMB4
chr7	107715981	107770801	LAMB4
chr7	116312443	116409963	MET
chr7	116312412	116438440	MET
chr7	140419126	140624728	BRAF
chr7	101459183	101927250	CUX1
chr7	140432363	140624728	BRAF
chr7	148504463	148581441	EZH2
chr7	107663995	107770801	LAMB4
chr7	104654636	104754532	KMT2E
chr7	148504463	148581441	EZH2
chr7	151832009	152133090	KMT2C
chr7	101459183	101927250	CUX1
chr7	101460881	101901513	CUX1
chr7	104654636	104754532	KMT2E
chr7	140432363	140624728	BRAF
chr8	117858172	117887105	RAD21
chr9	4985085	5128183	JAK2
chr9	4985085	5128183	JAK2
chr9	4985229	5128183	JAK2
chr9	4985229	5128183	JAK2
chr9	4985229	5128183	JAK2
chr9	5041692	5128183	JAK2
chr9	4985244	5128183	JAK2
chr9	107543283	107690527	ABCA1
chrX	133507341	133562822	PHF6
chrX	154299694	154351349	BRCC3
chrX	123094409	123236505	STAG2
chrX	123095555	123236505	STAG2
chrX	123095555	123236505	STAG2
chrX	39910498	40036582	BCOR
chrX	39910498	40036582	BCOR
chrX	39910498	39956719	BCOR
chrX	129139163	129192058	BCORL1
chrX	154299694	154351349	BRCC3
chrX	53401069	53449677	SMC1A
chrX	123095161	123236505	STAG2
chrX	44732420	44971857	KDM6A
chrX	44732420	44971857	KDM6A
chrX	44732420	44971857	KDM6A
chrX	44732420	44971857	KDM6A
chrX	44732420	44971857	KDM6A
chrX	48644981	48652717	GATA1
chrX	15337572	15353676	PIGA
chrX	15808573	15841382	ZRSR2
chrX	53401069	53449677	SMC1A
chrX	123095555	123236505	STAG2
chrX	39910498	39956719	BCOR
chrX	15337572	15353676	PIGA
chrX	44732420	44971857	KDM6A
chrX	129139163	129192058	BCORL1
chrX	154299694	154351349	BRCC3
chrX	133507341	133549321	PHF6
chrX	133507341	133562822	PHF6
chrX	15337572	15353676	PIGA
chrX	15337572	15353676	PIGA
chrX	44732420	44971857	KDM6A
chr10	89623194	89731687	PTEN
chr10	14946609	14996431	DCLRE1C
chr10	14946609	14996431	DCLRE1C
chr10	14946609	14996431	DCLRE1C
chr10	27293044	27389427	ANKRD26
chr10	14946609	14996431	DCLRE1C
chr10	14946609	14996431	DCLRE1C
chr10	14946609	14996431	DCLRE1C
chr10	14946609	14996431	DCLRE1C
chr10	89623194	89731687	PTEN
chr10	89623194	89731687	PTEN
chr10	14939562	14996431	DCLRE1C
chr10	14939562	14996431	DCLRE1C
chr10	14939562	14996431	DCLRE1C
chr10	112327448	112364392	SMC3
chr10	27293044	27389427	ANKRD26
chr10	14946609	14996431	DCLRE1C
chr10	70320116	70454239	TET1
chr10	14946609	14996431	DCLRE1C
chr10	14939562	14996431	DCLRE1C
chr10	14946609	14996431	DCLRE1C
chr10	14946609	14996431	DCLRE1C
