##fileDate=2018-09-25
##CollaboratorSampleID=1807444-L196-T
##GenomeBuild=/scratch/DMP/DUDMP/TRANSGEN/sjamal/2.Scripts/geneCN/Home/REFERENCES/hg.19.fa
##QCvalue=NA
##Chr="The chromosome of the feature"
##NA="Column not in use"
##L0="zero-based coordinate for the start of the feature"
##L1="one-based coordinate for the start of the feature"
##Feature="The name of the feature"
##State="The state of the feature if thresholds were provided else the pvalue"
##H0="zero-based coordinate for the end of the feature"
##H1="one-based coordinate for the end of the feature"
##Score="Score"
#Chr	NA	L0	L1	Feature	State	Chr	NA	H0	H1	Feature	State	Score
chr9	.	133589669	133589670	ABL1	0.2910451	chr9	.	133761109	133761110	ABL1	0.2910451	0.1347043
chr2	.	158594014	158594015	ACVR1	0.05753891	chr2	.	158656038	158656039	ACVR1	0.05753891	0.1081929
chr14	.	105235474	105235475	AKT1	6.318996e-09	chr14	.	105259039	105259040	AKT1	6.318996e-09	-0.672901
chr19	.	40739438	40739439	AKT2	0.03754736	chr19	.	40789989	40789990	AKT2	0.03754736	-0.2563763
chr2	.	29416057	29416058	ALK	2.40914e-05	chr2	.	30135065	30135066	ALK	2.40914e-05	0.3468372
chrX	.	63409728	63409729	AMER1	0.09566349	chrX	.	63413138	63413139	AMER1	0.09566349	0.2050801
chr5	.	112043375	112043376	APC	1.727398e-14	chr5	.	112179860	112179861	APC	1.727398e-14	-0.2828962
chrX	.	47422336	47422337	ARAF	6.652139e-05	chrX	.	47430898	47430899	ARAF	6.652139e-05	0.4510139
chr1	.	27022855	27022856	ARID1A	9.092562e-09	chr1	.	27107220	27107221	ARID1A	9.092562e-09	-0.4741301
chr20	.	30946506	30946507	ASXL1	0.7892712	chr20	.	31025190	31025191	ASXL1	0.7892712	-0.01416345
chr11	.	108093837	108093838	ATM	0.008732703	chr11	.	108236267	108236268	ATM	0.008732703	-0.07027478
chrX	.	76763801	76763802	ATRX	4.372531e-25	chrX	.	77041544	77041545	ATRX	4.372531e-25	0.6530989
chr20	.	54943983	54943984	AURKA	0.4226033	chr20	.	54968808	54968809	AURKA	0.4226033	0.06570977
chr15	.	45003702	45003703	B2M	0.02016118	chr15	.	45008602	45008603	B2M	0.02016118	-0.4659645
chr3	.	52436276	52436277	BAP1	0.03911565	chr3	.	52443938	52443939	BAP1	0.03911565	-0.2421434
chr18	.	60985253	60985254	BCL2	0	chr18	.	60985913	60985914	BCL2	0	-0.8010369
chrX	.	39911329	39911330	BCOR	2.350814e-11	chrX	.	40036344	40036345	BCOR	2.350814e-11	0.8250185
chr11	.	102190090	102190091	BIRC3	0.6613033	chr11	.	102209814	102209815	BIRC3	0.6613033	-0.04107455
chr7	.	140434356	140434357	BRAF	6.703842e-08	chr7	.	140624544	140624545	BRAF	6.703842e-08	0.1871643
chr17	.	41197660	41197661	BRCA1	2.224775e-06	chr17	.	41276148	41276149	BRCA1	2.224775e-06	-0.2511873
chr13	.	32890550	32890551	BRCA2	2.834602e-14	chr13	.	32972924	32972925	BRCA2	2.834602e-14	0.2342778
chr17	.	59760629	59760630	BRIP1	2.883249e-12	chr17	.	59938916	59938917	BRIP1	2.883249e-12	-0.4092742
chr12	.	92533314	92533315	BTG1	0.1766997	chr12	.	92539666	92539667	BTG1	0.1766997	0.2107239
