#chrom	txStart	txEnd	name2
chr1	40361095	40367687	MYCL
chr1	40361095	40367687	MYCL
chr1	204485506	204527248	MDM4
chr1	204485506	204527248	MDM4
chr1	204485506	204527248	MDM4
chr1	204485506	204527248	MDM4
chr1	204485506	204527248	MDM4
chr1	204485506	204527248	MDM4
chr1	78414086	78444889	FUBP1
chr1	226250407	226259703	H3F3A
chr1	204485506	204527248	MDM4
chr1	115247084	115259515	NRAS
chr1	78414086	78444889	FUBP1
chr1	40365283	40367687	MYCL
chr1	27022523	27108601	ARID1A
chr1	149812258	149812765	HIST2H3C
chr1	149824180	149824687	HIST2H3C
chr1	27022523	27108601	ARID1A
chr1	78412166	78444889	FUBP1
chr1	78409735	78444889	FUBP1
chr1	78409735	78444889	FUBP1
chr2	48010220	48034092	MSH6
chr2	47630205	47710367	MSH2
chr2	158592957	158731623	ACVR1
chr2	158592957	158732374	ACVR1
chr2	47630205	47710367	MSH2
chr2	48010220	48034092	MSH6
chr2	48010220	48034092	MSH6
chr2	48011093	48034092	MSH6
chr2	209100950	209119182	IDH1
chr2	209100950	209119027	IDH1
chr2	158592958	158732374	ACVR1
chr2	158592958	158732374	ACVR1
chr2	158592958	158732374	ACVR1
chr2	158592958	158732374	ACVR1
chr2	158592958	158694790	ACVR1
chr2	29415639	29446766	ALK
chr2	29415639	30144477	ALK
chr2	15731744	15771235	DDX1
chr2	121554866	121750229	GLI2
chr2	209100950	209119867	IDH1
chr3	37034840	37092337	MLH1
chr3	41240941	41281939	CTNNB1
chr3	41240941	41281939	CTNNB1
chr3	37034840	37092337	MLH1
chr3	37034840	37092337	MLH1
chr3	37034840	37092337	MLH1
chr3	37034840	37092337	MLH1
chr3	37034840	37092337	MLH1
chr3	37034840	37092337	MLH1
chr3	41240914	41281944	CTNNB1
chr3	47057897	47205467	SETD2
chr3	37034840	37092337	MLH1
chr3	37034840	37092337	MLH1
chr3	37034840	37092337	MLH1
chr3	37034840	37092337	MLH1
chr3	37034840	37092337	MLH1
chr3	37034840	37092337	MLH1
chr3	37034840	37092337	MLH1
chr3	37034840	37092337	MLH1
chr3	37034840	37092337	MLH1
chr3	37034840	37092337	MLH1
chr3	37034840	37092337	MLH1
chr3	37034840	37092337	MLH1
chr3	37034840	37092337	MLH1
chr3	37034840	37092337	MLH1
chr3	37034840	37092337	MLH1
chr3	37034840	37092337	MLH1
chr3	41240941	41281939	CTNNB1
chr3	178866310	178957881	PIK3CA
chr3	47057897	47205467	SETD2
chr3	47057897	47205467	SETD2
chr4	1795038	1810599	FGFR3
chr4	55524094	55606881	KIT
chr4	153241695	153303681	FBXW7
chr4	55524094	55606881	KIT
chr4	1795038	1810599	FGFR3
chr4	153332311	153456393	FBXW7
chr4	55095255	55148145	PDGFRA
chr4	55095255	55164414	PDGFRA
chr4	55099248	55164414	PDGFRA
chr4	55100126	55164414	PDGFRA
chr4	153241695	153457244	FBXW7
chr4	1795038	1810599	FGFR3
chr4	1795038	1810599	FGFR3
chr4	41746098	41750987	PHOX2B
chr4	55095255	55164414	PDGFRA
chr4	153241695	153273978	FBXW7
chr4	1795038	1810599	FGFR3
chr4	153242409	153456185	FBXW7
chr4	1795038	1810599	FGFR3
chr5	112073555	112181936	APC
chr5	31400601	31532282	DROSHA
chr5	112073555	112181936	APC
chr5	112043201	112181936	APC
chr5	1253286	1295162	TERT
chr5	67588395	67597649	PIK3R1
chr5	176513872	176525143	FGFR4
chr5	112043201	112181936	APC
chr5	112073555	112181936	APC
chr5	112043201	112181936	APC
chr5	112073555	112181936	APC
chr5	112073555	112181936	APC
chr5	112073555	112181936	APC
chr5	112073555	112181936	APC
chr5	112043201	112181936	APC
chr5	112073555	112181936	APC
chr5	112073555	112181936	APC
chr5	112073555	112181936	APC
chr5	112073555	112181936	APC
chr5	176513872	176525143	FGFR4
chr5	176513872	176525143	FGFR4
chr5	31400601	31532282	DROSHA
chr5	176516550	176525143	FGFR4
chr5	67586466	67597649	PIK3R1
chr5	67511583	67597649	PIK3R1
chr5	67584251	67597649	PIK3R1
chr5	1253286	1295162	TERT
chr5	176513872	176525143	FGFR4
chr5	1253286	1295162	TERT
chr5	1253286	1295162	TERT
chr6	33286334	33290793	DAXX
chr6	33286334	33290793	DAXX
chr6	33286334	33290793	DAXX
chr6	157098988	157531913	ARID1B
chr6	33286334	33290793	DAXX
chr6	157357555	157531913	ARID1B
chr6	26045638	26046097	HIST1H3C
chr6	26031816	26032288	HIST1H3B
chr6	157099063	157531913	ARID1B
chr6	157099063	157531913	ARID1B
chr7	116312443	116438440	MET
chr7	6010555	6048737	PMS2
chr7	116312443	116438440	MET
chr7	92234234	92465941	CDK6
chr7	148504463	148581441	EZH2
chr7	148504463	148581441	EZH2
chr7	148504463	148580601	EZH2
chr7	92234234	92463264	CDK6
chr7	6010555	6048737	PMS2
chr7	6010555	6048737	PMS2
chr7	6010555	6048659	PMS2
chr7	6010555	6048737	PMS2
chr7	6010555	6048737	PMS2
chr7	6010555	6048737	PMS2
chr7	6010555	6048659	PMS2
chr7	6010555	6048737	PMS2
chr7	6010555	6048737	PMS2
chr7	6010555	6048737	PMS2
chr7	6010555	6048737	PMS2
chr7	6010555	6048737	PMS2
chr7	6010555	6048737	PMS2
chr7	116312443	116409963	MET
chr7	116312412	116438440	MET
chr7	55086713	55270769	EGFR
chr7	55086713	55270769	EGFR
chr7	55086713	55275773	EGFR
chr7	55177509	55275773	EGFR
chr7	55086713	55275773	EGFR
chr7	140419126	140624728	BRAF
chr7	140432363	140624728	BRAF
chr7	148504463	148581441	EZH2
chr7	55086713	55275773	EGFR
chr7	128828712	128853385	SMO
chr7	148504463	148581441	EZH2
chr7	55086724	55236328	EGFR
chr7	55086724	55224644	EGFR
chr7	55086724	55238738	EGFR
chr7	6010555	6048737	PMS2
chr7	140432363	140624728	BRAF
chr8	38268655	38326352	FGFR1
chr8	38268655	38326352	FGFR1
chr8	38268655	38325363	FGFR1
chr8	38268655	38325363	FGFR1
chr8	38268655	38325363	FGFR1
