#chrom	txStart	txEnd	name2
chr1	150547026	150552214	MCL1
chr1	243663020	244006886	AKT3
chr1	115247084	115259515	NRAS
chr1	243663020	244006584	AKT3
chr1	150547026	150552214	MCL1
chr1	243651534	244006584	AKT3
chr1	150547026	150552214	MCL1
chr2	198283520	198299817	SF3B1
chr2	198283520	198299817	SF3B1
chr2	198256697	198299817	SF3B1
chr3	178866310	178957881	PIK3CA
chr4	1795038	1810599	FGFR3
chr4	55524094	55606881	KIT
chr4	55524094	55606881	KIT
chr4	1795038	1810599	FGFR3
chr4	55095255	55148145	PDGFRA
chr4	55095255	55164414	PDGFRA
chr4	55099248	55164414	PDGFRA
chr4	55100126	55164414	PDGFRA
chr4	1795038	1810599	FGFR3
chr4	1795038	1810599	FGFR3
chr4	55095255	55164414	PDGFRA
chr4	1795038	1810599	FGFR3
chr4	1795038	1810599	FGFR3
chr5	67588395	67597649	PIK3R1
chr5	56110899	56191978	MAP3K1
chr5	67586466	67597649	PIK3R1
chr5	67511583	67597649	PIK3R1
chr5	67584251	67597649	PIK3R1
chr6	152128813	152424408	ESR1
chr6	36646455	36655116	CDKN1A
chr6	152128453	152424408	ESR1
chr6	152126807	152424408	ESR1
chr6	152011630	152424408	ESR1
chr6	36644236	36655116	CDKN1A
chr6	36646486	36655116	CDKN1A
chr6	152126807	152424408	ESR1
chr6	152126807	152424408	ESR1
chr6	36644313	36655116	CDKN1A
chr6	152130241	152450738	ESR1
chr6	36644266	36655116	CDKN1A
chr7	116312443	116438440	MET
chr7	116312443	116438440	MET
chr7	116312443	116409963	MET
chr7	116312412	116438440	MET
chr7	55086713	55270769	EGFR
chr7	55086713	55270769	EGFR
chr7	55086713	55275773	EGFR
chr7	55177509	55275773	EGFR
chr7	55086713	55275773	EGFR
chr7	140419126	140624728	BRAF
chr7	140432363	140624728	BRAF
chr7	55086713	55275773	EGFR
chr7	55086724	55236328	EGFR
chr7	55086724	55224644	EGFR
chr7	55086724	55238738	EGFR
chr7	140432363	140624728	BRAF
chr8	38268655	38326352	FGFR1
chr8	38268655	38326352	FGFR1
chr8	38268655	38325363	FGFR1
chr8	38268655	38325363	FGFR1
chr8	38268655	38325363	FGFR1
chr8	38268655	38326352	FGFR1
chr8	38268655	38326352	FGFR1
chr8	38268655	38325363	FGFR1
chr8	38268655	38326352	FGFR1
chr8	128747679	128755197	MYC
chr8	128747679	128755197	MYC
chr8	38268655	38326352	FGFR1
chr8	38268655	38326352	FGFR1
chr8	38268655	38326352	FGFR1
chr8	38268655	38326352	FGFR1
chr9	21967750	21975132	CDKN2A
chr9	21967750	21975132	CDKN2A
chr9	21967750	21995042	CDKN2A
chr9	22002901	22009312	CDKN2B
chr9	21967750	21994490	CDKN2A
chr9	21967750	21974826	CDKN2A
chr9	22002901	22009312	CDKN2B
chr10	123237843	123357972	FGFR2
chr10	89623194	89731687	PTEN
chr10	8096666	8117164	GATA3
chr10	123241366	123353481	FGFR2
chr10	123237843	123353481	FGFR2
chr10	123237843	123356159	FGFR2
chr10	123237843	123353772	FGFR2
chr10	123237843	123357972	FGFR2
chr10	123237843	123357972	FGFR2
chr10	123241366	123357972	FGFR2
chr10	89623194	89731687	PTEN
chr10	89623194	89731687	PTEN
chr10	123237843	123290828	FGFR2
chr10	123237843	123357972	FGFR2
chr10	8096666	8117164	GATA3
chr10	123237843	123357972	FGFR2
chr10	123237843	123353481	FGFR2
chr10	123237843	123357972	FGFR2
chr11	108093558	108239826	ATM
chr11	108093558	108239826	ATM
chr11	108093558	108100091	ATM
chr11	108094255	108100091	ATM
chr11	69455872	69469242	CCND1
chr12	58141509	58146230	CDK4
chr12	56473891	56479401	ERBB3
chr12	69202796	69239324	MDM2
chr12	69201951	69239324	MDM2
chr12	69202796	69239324	MDM2
chr12	69202796	69239324	MDM2
