##fileDate=2018-09-25
##CollaboratorSampleID=157654-CMP-GSIC-0009-T
##GenomeBuild=/scratch/DMP/DUDMP/TRANSGEN/sjamal/2.Scripts/geneCN/Home/REFERENCES/hg.19.fa
##QCvalue=NA
##Chr="The chromosome of the feature"
##NA="Column not in use"
##L0="zero-based coordinate for the start of the feature"
##L1="one-based coordinate for the start of the feature"
##Feature="The name of the feature"
##State="The state of the feature if thresholds were provided else the pvalue"
##H0="zero-based coordinate for the end of the feature"
##H1="one-based coordinate for the end of the feature"
##Score="Score"
#Chr	NA	L0	L1	Feature	State	Chr	NA	H0	H1	Feature	State	Score
chr9	.	133589669	133589670	ABL1	0.0003504393	chr9	.	133761109	133761110	ABL1	0.0003504393	-0.4739463
chr2	.	158594014	158594015	ACVR1	0.04803345	chr2	.	158656038	158656039	ACVR1	0.04803345	-0.1523891
chr14	.	105235474	105235475	AKT1	4.010873e-09	chr14	.	105259039	105259040	AKT1	4.010873e-09	-0.9982973
chr19	.	40739438	40739439	AKT2	0.2804351	chr19	.	40789989	40789990	AKT2	0.2804351	0.09686503
chr2	.	29416057	29416058	ALK	0.002383815	chr2	.	30135065	30135066	ALK	0.002383815	-0.2502568
chrX	.	63409728	63409729	AMER1	0.0006311592	chrX	.	63413138	63413139	AMER1	0.0006311592	-0.5194669
chr5	.	112043375	112043376	APC	8.00145e-12	chr5	.	112179860	112179861	APC	8.00145e-12	-0.36627
chrX	.	47422336	47422337	ARAF	0.0002558251	chrX	.	47430898	47430899	ARAF	0.0002558251	-0.3038775
chr1	.	27022855	27022856	ARID1A	3.940339e-10	chr1	.	27107220	27107221	ARID1A	3.940339e-10	-0.4898278
chr20	.	30946506	30946507	ASXL1	3.302461e-06	chr20	.	31025190	31025191	ASXL1	3.302461e-06	-0.3908386
chr11	.	108093837	108093838	ATM	9.099195e-24	chr11	.	108236267	108236268	ATM	9.099195e-24	-0.3541698
chrX	.	76763801	76763802	ATRX	0.9126183	chrX	.	77041544	77041545	ATRX	0.9126183	0.004550728
chr20	.	54943983	54943984	AURKA	0.1531659	chr20	.	54968808	54968809	AURKA	0.1531659	-0.1473551
chr15	.	45003702	45003703	B2M	0.09581828	chr15	.	45008602	45008603	B2M	0.09581828	-0.7212456
chr3	.	52436276	52436277	BAP1	6.763259e-07	chr3	.	52443938	52443939	BAP1	6.763259e-07	-0.6218721
chr18	.	60985253	60985254	BCL2	0.01129643	chr18	.	60985913	60985914	BCL2	0.01129643	-1.353284
chrX	.	39911329	39911330	BCOR	0.008720457	chrX	.	40036344	40036345	BCOR	0.008720457	0.2586256
chr11	.	102190090	102190091	BIRC3	0.00917064	chr11	.	102209814	102209815	BIRC3	0.00917064	-0.3584131
chr7	.	140434356	140434357	BRAF	2.669156e-21	chr7	.	140624544	140624545	BRAF	2.669156e-21	-0.4730485
chr17	.	41197660	41197661	BRCA1	1.661844e-10	chr17	.	41276148	41276149	BRCA1	1.661844e-10	-0.4537298
chr13	.	32890550	32890551	BRCA2	1.994484e-21	chr13	.	32972924	32972925	BRCA2	1.994484e-21	-0.4243698
chr17	.	59760629	59760630	BRIP1	9.43317e-14	chr17	.	59938916	59938917	BRIP1	9.43317e-14	-0.6286221
chr12	.	92533314	92533315	BTG1	0.3180865	chr12	.	92539666	92539667	BTG1	0.3180865	-0.1896203
