##fileDate=2018-09-25
##CollaboratorSampleID=Promega-Pos-Control
##GenomeBuild=/scratch/DMP/DUDMP/TRANSGEN/sjamal/2.Scripts/geneCN/Home/REFERENCES/hg.19.fa
##QCvalue=NA
##Chr="The chromosome of the feature"
##NA="Column not in use"
##L0="zero-based coordinate for the start of the feature"
##L1="one-based coordinate for the start of the feature"
##Feature="The name of the feature"
##State="The state of the feature if thresholds were provided else the pvalue"
##H0="zero-based coordinate for the end of the feature"
##H1="one-based coordinate for the end of the feature"
##Score="Score"
#Chr	NA	L0	L1	Feature	State	Chr	NA	H0	H1	Feature	State	Score
chr9	.	133589669	133589670	ABL1	0.1205821	chr9	.	133761109	133761110	ABL1	0.1205821	-0.108089
chr2	.	158594014	158594015	ACVR1	3.526482e-06	chr2	.	158656038	158656039	ACVR1	3.526482e-06	0.2204818
chr14	.	105235474	105235475	AKT1	1.047166e-11	chr14	.	105259039	105259040	AKT1	1.047166e-11	-0.7351593
chr19	.	40739438	40739439	AKT2	0.1770682	chr19	.	40789989	40789990	AKT2	0.1770682	-0.1186521
chr2	.	29416057	29416058	ALK	0.327794	chr2	.	30135065	30135066	ALK	0.327794	0.04551553
chrX	.	63409728	63409729	AMER1	0.0001558966	chrX	.	63413138	63413139	AMER1	0.0001558966	-0.500926
chr5	.	112043375	112043376	APC	3.987482e-05	chr5	.	112179860	112179861	APC	3.987482e-05	0.1916759
chrX	.	47422336	47422337	ARAF	1.863125e-07	chrX	.	47430898	47430899	ARAF	1.863125e-07	-0.6497916
chr1	.	27022855	27022856	ARID1A	0.6264331	chr1	.	27107220	27107221	ARID1A	0.6264331	-0.02891666
chr20	.	30946506	30946507	ASXL1	0.07220085	chr20	.	31025190	31025191	ASXL1	0.07220085	0.1016213
chr11	.	108093837	108093838	ATM	5.906929e-13	chr11	.	108236267	108236268	ATM	5.906929e-13	0.1798024
chrX	.	76763801	76763802	ATRX	2.411514e-15	chrX	.	77041544	77041545	ATRX	2.411514e-15	-0.3926133
chr20	.	54943983	54943984	AURKA	0.01218656	chr20	.	54968808	54968809	AURKA	0.01218656	0.137102
chr15	.	45003702	45003703	B2M	0.9884059	chr15	.	45008602	45008603	B2M	0.9884059	-0.004229006
chr3	.	52436276	52436277	BAP1	0.03655799	chr3	.	52443938	52443939	BAP1	0.03655799	-0.1810858
chr18	.	60985253	60985254	BCL2	0.119979	chr18	.	60985913	60985914	BCL2	0.119979	-0.737176
chrX	.	39911329	39911330	BCOR	1.177369e-05	chrX	.	40036344	40036345	BCOR	1.177369e-05	-0.3203792
chr11	.	102190090	102190091	BIRC3	0.001917106	chr11	.	102209814	102209815	BIRC3	0.001917106	0.1988847
chr7	.	140434356	140434357	BRAF	0.0003279383	chr7	.	140624544	140624545	BRAF	0.0003279383	-0.09840626
chr17	.	41197660	41197661	BRCA1	5.654718e-07	chr17	.	41276148	41276149	BRCA1	5.654718e-07	0.1745791
chr13	.	32890550	32890551	BRCA2	7.429357e-19	chr13	.	32972924	32972925	BRCA2	7.429357e-19	0.20475
chr17	.	59760629	59760630	BRIP1	1.570865e-06	chr17	.	59938916	59938917	BRIP1	1.570865e-06	-0.1352465
chr12	.	92533314	92533315	BTG1	0.915758	chr12	.	92539666	92539667	BTG1	0.915758	-0.03176061
