#chrom	txStart	txEnd	name2
chr1	36931643	36948915	CSF3R
chr1	149812258	149812765	HIST2H3A
chr1	149824180	149824687	HIST2H3A
chr1	162602170	162756363	DDR2
chr1	40361095	40367687	MYCL
chr1	40361095	40367687	MYCL
chr1	45285515	45308616	PTCH2
chr1	150547026	150552214	MCL1
chr1	120477735	120612317	NOTCH2
chr1	204485506	204527248	MDM4
chr1	204485506	204527248	MDM4
chr1	51434366	51440306	CDKN2C
chr1	204485506	204527248	MDM4
chr1	204485506	204527248	MDM4
chr1	204485506	204527248	MDM4
chr1	204485506	204527248	MDM4
chr1	65298905	65432619	JAK1
chr1	65298905	65533429	JAK1
chr1	65298905	65533429	JAK1
chr1	65298905	65533429	JAK1
chr1	65298905	65432252	JAK1
chr1	65298905	65432619	JAK1
chr1	65298905	65432252	JAK1
chr1	9749602	9788980	PIK3CD
chr1	9751524	9788980	PIK3CD
chr1	162601716	162756363	DDR2
chr1	162601054	162756363	DDR2
chr1	154947117	154951725	CKS1B
chr1	226250407	226259703	H3F3A
chr1	23884420	23886285	ID3
chr1	65298905	65432252	JAK1
chr1	204485506	204527248	MDM4
chr1	115247084	115259515	NRAS
chr1	45287937	45308616	PTCH2
chr1	11166587	11322608	MTOR
chr1	9711788	9788980	PIK3CD
chr1	43803474	43820135	MPL
chr1	40365283	40367687	MYCL
chr1	27022523	27108601	ARID1A
chr1	162602170	162756363	DDR2
chr1	149812258	149812765	HIST2H3C
chr1	149824180	149824687	HIST2H3C
chr1	150547026	150552214	MCL1
chr1	120454175	120612317	NOTCH2
chr1	51435641	51440309	CDKN2C
chr1	27022523	27108601	ARID1A
chr1	36931643	36948915	CSF3R
chr1	36931643	36948915	CSF3R
chr1	150547026	150552214	MCL1
chr1	154947117	154951725	CKS1B
chr2	48010220	48034092	MSH6
chr2	47630205	47710367	MSH2
chr2	190648810	190742355	PMS1
chr2	198283520	198299817	SF3B1
chr2	136871918	136873805	CXCR4
chr2	202098165	202152434	CASP8
chr2	202122753	202152434	CASP8
chr2	158592957	158731623	ACVR1
chr2	158592957	158732374	ACVR1
chr2	190648810	190742355	PMS1
chr2	190648810	190742355	PMS1
chr2	202098165	202152434	CASP8
chr2	47630205	47710367	MSH2
chr2	48010220	48034092	MSH6
chr2	48010220	48034092	MSH6
chr2	48011093	48034092	MSH6
chr2	209100950	209119182	IDH1
chr2	209100950	209119027	IDH1
chr2	190648810	190742355	PMS1
chr2	190648810	190742355	PMS1
chr2	16080559	16087129	MYCN
chr2	16080559	16087129	MYCN
chr2	16080559	16087129	MYCN
chr2	198283520	198299817	SF3B1
chr2	25504320	25564784	DNMT3A
chr2	25455829	25475000	DNMT3A
chr2	190648810	190742355	PMS1
chr2	190648810	190742355	PMS1
chr2	190648810	190742355	PMS1
chr2	190648810	190742355	PMS1
chr2	190648810	190742355	PMS1
chr2	190648810	190671775	PMS1
chr2	190648810	190671572	PMS1
chr2	158592958	158732374	ACVR1
chr2	158592958	158732374	ACVR1
chr2	158592958	158732374	ACVR1
chr2	158592958	158732374	ACVR1
chr2	158592958	158694790	ACVR1
chr2	136871918	136875725	CXCR4
chr2	136871918	136875725	CXCR4
chr2	136871918	136875216	CXCR4
chr2	29415639	29446766	ALK
chr2	136871918	136875725	CXCR4
chr2	29415639	30144477	ALK
chr2	16080559	16087129	MYCN
chr2	209100950	209119867	IDH1
chr2	198256697	198299817	SF3B1
chr2	25455829	25564784	DNMT3A
chr2	202098165	202152434	CASP8
chr2	202125222	202152434	CASP8
chr2	202098165	202146638	CASP8
chr2	25455829	25475184	DNMT3A
chr2	25455829	25565459	DNMT3A
chr2	25504320	25565459	DNMT3A
chr2	190648810	190742355	PMS1
chr2	202122753	202152434	CASP8
chr2	25455829	25565459	DNMT3A
chr3	37034840	37092337	MLH1
chr3	10183318	10195354	VHL
chr3	41240941	41281939	CTNNB1
chr3	41240941	41281939	CTNNB1
chr3	189349215	189615068	TP63
chr3	189349215	189599284	TP63
chr3	189507448	189615068	TP63
chr3	189507448	189615068	TP63
chr3	189507448	189599284	TP63
chr3	37034840	37092337	MLH1
chr3	37034840	37092337	MLH1
chr3	37034840	37092337	MLH1
chr3	38179968	38184512	MYD88
chr3	38179968	38184512	MYD88
chr3	38179968	38184512	MYD88
chr3	38179968	38184512	MYD88
chr3	37034840	37092337	MLH1
chr3	37034840	37092337	MLH1
chr3	37034840	37092337	MLH1
chr3	189349215	189615068	TP63
chr3	189507448	189615068	TP63
chr3	189507448	189615068	TP63
chr3	189349215	189615068	TP63
chr3	189507448	189615068	TP63
chr3	189507448	189615068	TP63
chr3	189314534	189615068	TP63
chr3	41240914	41281944	CTNNB1
chr3	47057897	47205467	SETD2
chr3	52579367	52719575	PBRM1
chr3	52579367	52719866	PBRM1
chr3	52579367	52719866	PBRM1
chr3	52579367	52719575	PBRM1
chr3	52579367	52719866	PBRM1
chr3	52579367	52719866	PBRM1
chr3	37034840	37092337	MLH1
chr3	37034840	37092337	MLH1
chr3	37034840	37092337	MLH1
chr3	37034840	37092337	MLH1
chr3	37034840	37092337	MLH1
chr3	37034840	37092337	MLH1
chr3	37034840	37092337	MLH1
chr3	37034840	37092337	MLH1
chr3	37034840	37092337	MLH1
chr3	37034840	37092337	MLH1
chr3	37034840	37092337	MLH1
chr3	37034840	37092337	MLH1
chr3	37034840	37092337	MLH1
chr3	37034840	37092337	MLH1
chr3	37034840	37092337	MLH1
chr3	37034840	37092337	MLH1
chr3	12625099	12705700	RAF1
chr3	12625099	12705007	RAF1
chr3	12625099	12705700	RAF1
chr3	12625099	12705700	RAF1
chr3	12625099	12705700	RAF1
chr3	12625099	12705700	RAF1
chr3	12625099	12705700	RAF1
chr3	10183318	10195354	VHL
chr3	41240941	41281939	CTNNB1
chr3	38179968	38184512	MYD88
chr3	12625099	12705700	RAF1
chr3	181429711	181432223	SOX2
chr3	189349215	189615068	TP63
chr3	52435019	52444121	BAP1
chr3	178866310	178957881	PIK3CA
chr3	47057897	47205467	SETD2
chr3	52579367	52719866	PBRM1
chr3	138663065	138665982	FOXL2
chr3	52579404	52719796	PBRM1
chr3	10183318	10195354	VHL
chr3	47057897	47205467	SETD2
chr3	12625099	12705700	RAF1
chr3	12625099	12705700	RAF1
chr3	12625099	12705700	RAF1
chr4	1795038	1810599	FGFR3
chr4	55524094	55606881	KIT
chr4	153241695	153303681	FBXW7
chr4	55524094	55606881	KIT
chr4	106067841	106200960	TET2
chr4	1795038	1810599	FGFR3
chr4	153332311	153456393	FBXW7
chr4	55095255	55148145	PDGFRA
chr4	55095255	55164414	PDGFRA
chr4	55099248	55164414	PDGFRA
chr4	55100126	55164414	PDGFRA
chr4	153241695	153457244	FBXW7
chr4	1795038	1810599	FGFR3
chr4	1795038	1810599	FGFR3
chr4	55944647	55991762	KDR
chr4	41746098	41750987	PHOX2B
chr4	187508936	187644987	FAT1
chr4	55095255	55164414	PDGFRA
chr4	106067031	106163928	TET2
chr4	153241695	153273978	FBXW7
chr4	1795038	1810599	FGFR3
chr4	153242409	153456185	FBXW7
chr4	1795038	1810599	FGFR3
chr5	112073555	112181936	APC
chr5	170814707	170833731	NPM1
chr5	31400601	31532282	DROSHA
chr5	112073555	112181936	APC
chr5	112043201	112181936	APC
chr5	1253286	1295162	TERT
chr5	67588395	67597649	PIK3R1
chr5	38938022	39074510	RICTOR
chr5	38938022	39074510	RICTOR
chr5	158122922	158526770	EBF1
chr5	176513872	176525143	FGFR4
chr5	76011867	76031605	F2R
chr5	158122922	158526770	EBF1
chr5	158122922	158526770	EBF1
chr5	158122922	158526770	EBF1
chr5	158122922	158526770	EBF1
chr5	158122922	158526770	EBF1
chr5	158122922	158526770	EBF1
chr5	158122922	158526770	EBF1
chr5	112043201	112181936	APC
chr5	112073555	112181936	APC
chr5	112043201	112181936	APC
chr5	112073555	112181936	APC
chr5	112073555	112181936	APC
chr5	112073555	112181936	APC
chr5	112073555	112181936	APC
chr5	112043201	112181936	APC
chr5	112073555	112181936	APC
chr5	112073555	112181936	APC
chr5	112073555	112181936	APC
chr5	112073555	112181936	APC
chr5	176513872	176525143	FGFR4
chr5	170814119	170837888	NPM1
chr5	170814707	170837888	NPM1
chr5	170814707	170833731	NPM1
chr5	170814707	170837888	NPM1
chr5	158122929	158526788	EBF1
chr5	158122929	158524964	EBF1
chr5	158122929	158524964	EBF1
chr5	158122929	158524964	EBF1
chr5	158122929	158524964	EBF1
chr5	76011867	76031605	F2R
chr5	176513872	176525143	FGFR4
chr5	170814707	170837888	NPM1
chr5	44305096	44388784	FGF10
chr5	56110899	56191978	MAP3K1
chr5	31400601	31532282	DROSHA
chr5	176560832	176727214	NSD1
chr5	176516550	176525143	FGFR4
chr5	158122922	158526770	EBF1
chr5	38938022	39074510	RICTOR
chr5	176560079	176727214	NSD1
chr5	67586466	67597649	PIK3R1
chr5	67511583	67597649	PIK3R1
chr5	67584251	67597649	PIK3R1
chr5	158122922	158526770	EBF1
chr5	1253286	1295162	TERT
chr5	170814707	170837888	NPM1
chr5	176513872	176525143	FGFR4
chr5	170814707	170837888	NPM1
chr5	1253286	1295162	TERT
chr5	1253286	1295162	TERT
chr6	152128813	152424408	ESR1
chr6	152128453	152424408	ESR1
chr6	152126807	152424408	ESR1
chr6	152011630	152424408	ESR1
chr6	41902670	42016632	CCND3
chr6	41902670	41909586	CCND3
chr6	41902670	42016632	CCND3
chr6	33286334	33290793	DAXX
chr6	33286334	33290793	DAXX
chr6	391738	411443	IRF4
chr6	33286334	33290793	DAXX
chr6	41902670	41909586	CCND3
chr6	41902670	42016632	CCND3
chr6	152126807	152424408	ESR1
chr6	152126807	152424408	ESR1
chr6	152130241	152450738	ESR1
chr6	33286334	33290793	DAXX
chr6	41902670	41909586	CCND3
chr6	391738	411443	IRF4
chr6	117609529	117747018	ROS1
chr6	26045638	26046097	HIST1H3C
chr6	26031816	26032288	HIST1H3B
chr6	391738	411443	IRF4
chr7	116312443	116438440	MET
chr7	6010555	6048737	PMS2
chr7	124462439	124570037	POT1
chr7	116312443	116438440	MET
chr7	92234234	92465941	CDK6
chr7	101459183	101901513	CUX1
chr7	101459183	101927250	CUX1
chr7	101459183	101927250	CUX1
chr7	101459287	101927250	CUX1
chr7	148504463	148581441	EZH2
chr7	148504463	148581441	EZH2
chr7	148504463	148580601	EZH2
chr7	50344264	50472798	IKZF1
chr7	50358643	50472798	IKZF1
chr7	50358643	50472798	IKZF1
chr7	50358643	50472798	IKZF1
chr7	50358643	50472798	IKZF1
chr7	92234234	92463264	CDK6
chr7	50348275	50472798	IKZF1
chr7	50348275	50472798	IKZF1
chr7	50343678	50472798	IKZF1
chr7	50358643	50472798	IKZF1
chr7	50358643	50472798	IKZF1
chr7	50358643	50472798	IKZF1
chr7	50358643	50472798	IKZF1
chr7	50358643	50472798	IKZF1
chr7	50344264	50437142	IKZF1
chr7	50344264	50437537	IKZF1
chr7	50348275	50437537	IKZF1
chr7	6010555	6048737	PMS2
chr7	6010555	6048737	PMS2
chr7	6010555	6048659	PMS2
chr7	6010555	6048737	PMS2
chr7	6010555	6048737	PMS2
chr7	6010555	6048737	PMS2
chr7	6010555	6048659	PMS2
chr7	6010555	6048737	PMS2
chr7	6010555	6048737	PMS2
chr7	6010555	6048737	PMS2
chr7	6010555	6048737	PMS2
chr7	6010555	6048737	PMS2
chr7	6010555	6048737	PMS2
chr7	2945709	3083579	CARD11
chr7	116312443	116409963	MET
chr7	116312412	116438440	MET
chr7	55086713	55270769	EGFR
chr7	55086713	55270769	EGFR
chr7	55086713	55275773	EGFR
chr7	55177509	55275773	EGFR
chr7	55086713	55275773	EGFR
chr7	140419126	140624728	BRAF
chr7	101459183	101927250	CUX1
chr7	140432363	140624728	BRAF
chr7	148504463	148581441	EZH2
chr7	55086713	55275773	EGFR
chr7	128828712	128853385	SMO
chr7	50344311	50472798	IKZF1
chr7	124462439	124570037	POT1
chr7	2945709	3083579	CARD11
chr7	148504463	148581441	EZH2
chr7	151832009	152133090	KMT2C
chr7	101459183	101927250	CUX1
chr7	101460881	101901513	CUX1
chr7	55086724	55236328	EGFR
chr7	55086724	55224644	EGFR
chr7	55086724	55238738	EGFR
chr7	124462439	124570037	POT1
chr7	124462439	124570037	POT1
chr7	124462439	124570037	POT1
chr7	6010555	6048737	PMS2
chr7	140432363	140624728	BRAF
chr8	38268655	38326352	FGFR1
chr8	38268655	38326352	FGFR1
chr8	38268655	38325363	FGFR1
chr8	38268655	38325363	FGFR1
chr8	38268655	38325363	FGFR1
chr8	38268655	38326352	FGFR1
chr8	38268655	38326352	FGFR1
chr8	38268655	38325363	FGFR1
chr8	38268655	38326352	FGFR1
chr8	128747679	128755197	MYC
chr8	128747679	128755197	MYC
chr8	133879204	134147143	TG
chr8	117858172	117887105	RAD21
chr8	38268655	38326352	FGFR1
chr8	38268655	38326352	FGFR1
chr8	38268655	38326352	FGFR1
chr8	38268655	38326352	FGFR1
chr8	95892452	95907482	CCNE2
chr9	21967750	21975132	CDKN2A
chr9	98205261	98270831	PTCH1
chr9	135766734	135820020	TSC1
chr9	98205261	98279339	PTCH1
chr9	98205261	98279247	PTCH1
chr9	98205261	98270322	PTCH1
chr9	98205261	98270322	PTCH1
chr9	98205261	98269699	PTCH1
chr9	98205261	98269481	PTCH1
chr9	135766734	135820020	TSC1
chr9	135766734	135820020	TSC1
chr9	21967750	21975132	CDKN2A
chr9	5450502	5470567	CD274
chr9	36833271	37034476	PAX5
chr9	36833271	37034476	PAX5
chr9	36833271	37034476	PAX5
chr9	36833271	37034476	PAX5
chr9	36833271	37034476	PAX5
chr9	36833271	37034476	PAX5
chr9	36833271	37034476	PAX5
chr9	36833271	37034476	PAX5
chr9	36833271	37034476	PAX5
chr9	36833271	37034476	PAX5
chr9	5450502	5463238	CD274
chr9	4985085	5128183	JAK2
chr9	4985085	5128183	JAK2
chr9	4985229	5128183	JAK2
chr9	4985229	5128183	JAK2
chr9	4985229	5128183	JAK2
chr9	5041692	5128183	JAK2
