##fileDate=2018-09-25
##CollaboratorSampleID=146675-644060-T
##GenomeBuild=/scratch/DMP/DUDMP/TRANSGEN/sjamal/2.Scripts/geneCN/Home/REFERENCES/hg.19.fa
##QCvalue=NA
##Chr="The chromosome of the feature"
##NA="Column not in use"
##L0="zero-based coordinate for the start of the feature"
##L1="one-based coordinate for the start of the feature"
##Feature="The name of the feature"
##State="The state of the feature if thresholds were provided else the pvalue"
##H0="zero-based coordinate for the end of the feature"
##H1="one-based coordinate for the end of the feature"
##Score="Score"
#Chr	NA	L0	L1	Feature	State	Chr	NA	H0	H1	Feature	State	Score
chr9	.	133589669	133589670	ABL1	0.02554906	chr9	.	133761109	133761110	ABL1	0.02554906	2.928849
chr2	.	158594014	158594015	ACVR1	0.005861002	chr2	.	158656038	158656039	ACVR1	0.005861002	6.335836
chr14	.	105235474	105235475	AKT1	0.001473674	chr14	.	105259039	105259040	AKT1	0.001473674	4.809165
chr19	.	40739438	40739439	AKT2	0.01466268	chr19	.	40789989	40789990	AKT2	0.01466268	-2.2047
chr2	.	29416057	29416058	ALK	0.005413187	chr2	.	30135065	30135066	ALK	0.005413187	3.220581
chrX	.	63409728	63409729	AMER1	7.395458e-25	chrX	.	63413138	63413139	AMER1	7.395458e-25	8.471122
chr5	.	112043375	112043376	APC	2.071319e-09	chr5	.	112179860	112179861	APC	2.071319e-09	6.527735
chrX	.	47422336	47422337	ARAF	7.255489e-05	chrX	.	47430898	47430899	ARAF	7.255489e-05	6.744201
chr1	.	27022855	27022856	ARID1A	1.120148e-11	chr1	.	27107220	27107221	ARID1A	1.120148e-11	6.989934
chr20	.	30946506	30946507	ASXL1	1.515289e-06	chr20	.	31025190	31025191	ASXL1	1.515289e-06	5.896766
chr11	.	108093837	108093838	ATM	2.906972e-09	chr11	.	108236267	108236268	ATM	2.906972e-09	4.41128
chrX	.	76763801	76763802	ATRX	1.266194e-09	chrX	.	77041544	77041545	ATRX	1.266194e-09	5.632449
chr20	.	54943983	54943984	AURKA	0.08333446	chr20	.	54968808	54968809	AURKA	0.08333446	2.91125
chr15	.	45003702	45003703	B2M	5.216956e-10	chr15	.	45008602	45008603	B2M	5.216956e-10	7.556348
chr3	.	52436276	52436277	BAP1	0.007732486	chr3	.	52443938	52443939	BAP1	0.007732486	3.991369
chr18	.	60985253	60985254	BCL2	0.07577964	chr18	.	60985913	60985914	BCL2	0.07577964	7.248803
chrX	.	39911329	39911330	BCOR	2.829374e-07	chrX	.	40036344	40036345	BCOR	2.829374e-07	6.041683
chr11	.	102190090	102190091	BIRC3	0.04363285	chr11	.	102209814	102209815	BIRC3	0.04363285	3.817622
chr7	.	140434356	140434357	BRAF	0.0007040062	chr7	.	140624544	140624545	BRAF	0.0007040062	2.559976
chr17	.	41197660	41197661	BRCA1	0.0004198556	chr17	.	41276148	41276149	BRCA1	0.0004198556	3.984245
chr13	.	32890550	32890551	BRCA2	5.273965e-11	chr13	.	32972924	32972925	BRCA2	5.273965e-11	6.25935
chr17	.	59760629	59760630	BRIP1	3.330814e-06	chr17	.	59938916	59938917	BRIP1	3.330814e-06	6.289267
chr12	.	92533314	92533315	BTG1	0.4831744	chr12	.	92539666	92539667	BTG1	0.4831744	2.67092
